;Numer.......................................wpisu;Imiê.i.nazwisko.lub.nazwa.inwestora;Data.wpisu;Adres;Rodzaj;opis;typ;Data.wniosku;Nr...............wniosku;Nr...............decyzji;Data.decyzji;Rok.wniosku;Miesi¹c.wniosku;data;Czas.rozpatrzenia;lon;lat
1;6;;;¯ernicka 205 ;bud.mieszkalne jednorodzinne;bud budynku mieszkalnego jednorodzinnego;nowe;2008-11-07;42298/08;09-sty;2009-01-05;2008;11;2008-11-01;42;16,925939;51,12323
2;9;;;Krzywickiego Ludwika 4-6 ;bud.o trzech i wiêcej mieszkaniach;zespo³u budynkow wielorodzinnych w zabud bli¿niacz;nowe;2008-08-12;31316/08;09-mar;2009-01-05;2008;8;2008-08-01;105;17,0739568;51,1247702
3;12;;;Strachowice;bud.mieszkalne jednorodzinne;bud domu jednorodzinnego wolno stoj¹cego;nowe;2008-11-28;44710/08;09-sie;2009-01-05;2008;11;2008-11-01;27;16,9050009;51,104017
4;29;;;Maleczyñskich Ewy I Karola 95 ;bud.o dwóch mieszkaniach;budowa budynku mieszkal.                             jednorodz.z dwoma lokalalmi;nowe;2008-11-03;41569/08;19-wrz;2009-01-07;2008;11;2008-11-01;48;16,9772961;51,0723005
5;34;;;Paw³owice;bud.mieszkalne jednorodzinne;bud mieszkalny jednorodz w zabud wolnostoj¹cej z gara¿em wbudow;nowe;2008-11-06;42193/08;24-wrz;2009-01-07;2008;11;2008-11-01;45;17,0998527;51,1690535
6;57;;;RzeŸbiarska ;bud.mieszkalne jednorodzinne;osiedle domów jednorodz w zabud szeregowej wraz z zagospodarow;nowe;2008-11-05;42023/08;wrz-43;2009-01-12;2008;11;2008-11-01;49;17,0828718;51,0997151
7;78;;;Bia³oszewskiego Mirona ;bud.mieszkalne jednorodzinne;bud mieszkalny jednorodzinny wolno stoj¹cy;nowe;2008-11-21;43636/08;wrz-62;2009-01-13;2008;11;2008-11-01;38;17,0330948;51,0509619
8;121;;;Stab³owicka 166 ;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodz w zabud wolno stoj¹cej;nowe;2008-11-20;43612/08;102/09;2009-01-16;2008;11;2008-11-01;42;16,904086;51,1735289
9;133;;;Osiniecka 55A ;bud.mieszkalne jednorodzinne;budowa domu jednordz.niepodpiwniczonego;nowe;2008-12-05;45563/08;112/09;2009-01-19;2008;12;2008-12-01;32;16,8984301;51,1214886
10;145;;;Prochowicka 16 ;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2008-12-30;47907/08;121/09;2009-01-20;2008;12;2008-12-01;16;16,8623364;51,1516656
11;146;;;Buforowa ;bud.mieszkalne jednorodzinne;budowa zespo ³u budynków jednorodz.wolnostoj.z wbud.gara¿.;nowe;2008-10-13;38979/08;122/09;2009-01-20;2008;10;2008-10-01;72;17,0570783;51,0574178
12;149;;;Gorlicka 55 ;bud.mieszkalne jednorodzinne;dom jednorodzinny z gara¿em;nowe;2008-11-18;43279/08;125/09;2009-01-20;2008;11;2008-11-01;46;17,121527;51,1425129
13;153;;;Rêdziñska 30-38 ;bud.o trzech i wiêcej mieszkaniach;osiedle budynków wielorodzinnych;nowe;2008-05-27;20625/08;15-wrz;2009-01-21;2008;5;2008-05-01;172;16,946117;51,152794
14;157;;;Wolfkego Mieczys³awa 7 ;bud.mieszkalne jednorodzinne;bud domu jednorodz wolnostoj¹cego;nowe;2008-12-23;47533/08;129/09;2009-01-21;2008;12;2008-12-01;22;16,8740425;51,15792
15;169;;;Jagodno;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.                       jednorodz.wolnostoj.z niezb.infra.;nowe;2008-12-23;47620/08;140/09;2009-01-22;2008;12;2008-12-01;23;17,0576881;51,0516668
16;170;;;Watowa ;bud.mieszkalne jednorodzinne;bud mieszkalny jednorodz wolnostoj¹cy;nowe;2008-11-21;43767/08;141/09;2009-01-22;2008;11;2008-11-01;45;16,8390771;51,1709358
17;176;;;Rybnicka 18 ;bud.mieszkalne jednorodzinne;budowa zespo³u budynków mieszkal.wielorodz.z garazami;nowe;2008-11-14;42983/08;146/09;2009-01-23;2008;11;2008-11-01;51;17,0815693;51,0815011
18;180;;;Zatorska ;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u budynków wielorodz.z us³ugami;nowe;2008-11-19;43484/08;150/09;2009-01-23;2008;11;2008-11-01;48;17,1347609;51,160213
19;183;;;Jagodno;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2008-12-23;47621/08;153/09;2009-01-26;2008;12;2008-12-01;25;17,0576881;51,0516668
20;184;;;Lubelska 69 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego w zab. bliŸniaczej;nowe;2008-12-09;45796/08;154/09;2009-01-26;2008;12;2008-12-01;35;16,922233;51,162326
21;199;;;Zagrodnicza 31 ;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny;nowe;2008-12-16;46789/08;167/09;2009-01-27;2008;12;2008-12-01;31;17,14606;51,1109719
22;212;;;Redycka ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2008-11-28;44619/08;176/09;2009-01-29;2008;11;2008-11-01;45;17,0635641;51,1561255
23;223;;;Partynicka 26B ;bud.o trzech i wiêcej mieszkaniach;budynek mieszkalny wielorodzinny z gara¿em podziemnym;nowe;2008-11-27;44546/08;184/09;2009-01-30;2008;11;2008-11-01;47;16,992691;51,0645389
24;224;;;Odcinek 14A ;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny;nowe;2008-12-29;47774/08;185/09;2009-01-30;2008;12;2008-12-01;25;17,1546339;51,0979699
25;228;;;Sobieszowska 15 ;bud.mieszkalne jednorodzinne;dobud drugiego bud mieszk jednorodzinnego;nowe;2008-11-27;44556/08;20-wrz;2009-02-02;2008;11;2008-11-01;48;16,8830707;51,1533845
