"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"2480";3346;"";"";"Figowa  ";"bud.mieszkalne jednorodzinne";"budowa zespo³u budynków jednorodzinnych";"nowe";"2015-10-16";"34341/15";"6348/15";"2015-12-01";2015;10;"2015-10-01";33;17,2066759;51,0935031
"2481";3350;"";"";"Górecka 106 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-09-24";"31623/15";"6355/15";"2015-12-01";2015;9;"2015-09-01";49;16,912899;51,1561309
"2482";3352;"";"";"Figowa  ";"bud.o dwóch mieszkaniach";"budowa trzech budynków mieszkalnych jednorodzinnych w zabudowie szeregowej";"nowe";"2015-10-16";"34342/15";"6357/15";"2015-12-01";2015;10;"2015-10-01";33;17,2066759;51,0935031
"2483";3377;"";"";"Jahna Alfreda  21 ";"bud.o dwóch mieszkaniach";"budowa budynków mieszkalnych jednorodzinnych";"nowe";"2015-11-17";"37815/15";"6400/15";"2015-12-03";2015;11;"2015-11-01";13;16,8734874;51,1616158
"2484";3396;"";"";"Uczniowska 3 ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego wolno stoj¹cego";"nowe";"2015-10-05";"33019/15";"6427/15";"2015-12-04";2015;10;"2015-10-01";45;17,0283666;51,0610064
"2485";3398;"";"";"Stra¿acka  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-09";"36996/15";"6433/15";"2015-12-04";2015;11;"2015-11-01";20;17,0157685;51,1721311
"2486";3403;"";"";"Deszczowa  40 ";"bud.o dwóch mieszkaniach";"budowa dwóch budynków mieszkalnych jednorodzinnych";"nowe";"2015-07-27";"24811/15";"6451/15";"2015-12-08";2015;7;"2015-07-01";97;17,0008081;51,0745832
"2487";3411;"";"";"Jutrzenki 71C ";"bud.o dwóch mieszkaniach";"budowa dwóch budynków mieszkalnych jednorodzinnych dwulokalowych";"nowe";"2015-09-23";"31541/15";"6461/15";"2015-12-08";2015;9;"2015-09-01";55;16,9793058;51,0733712
"2488";3423;"";"";"Brodzka  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-09-18";"30986/15";"6484/15";"2015-12-09";2015;9;"2015-09-01";59;16,9169143;51,1671142
"2489";3426;"";"";"Chopina Fryderyka  2A ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego z wbudowanym gara¿em";"nowe";"2015-07-16";"23568/15";"6492/15";"2015-12-09";2015;7;"2015-07-01";105;17,0812525;51,1178256
"2490";3445;"";"";"O³taszyñska  ";"bud.o dwóch mieszkaniach";"budowa zespolu budynków mieszkalnych";"nowe";"2015-10-06";"33147/15";"6528/15";"2015-12-10";2015;10;"2015-10-01";48;17,0086477;51,0628032
"2491";3457;"";"";"Gromadzka  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-08-11";"26471/15";"6547/15";"2015-12-10";2015;8;"2015-08-01";88;16,8487876;51,1292931
"2492";3458;"";"";"£ukowska  55 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-09-23";"31545/15";"6550/15";"2015-12-11";2015;9;"2015-09-01";58;16,9227404;51,1659595
"2493";3459;"";"";"Tulipanowa 3 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego w zabudowie szeregowej";"nowe";"2015-10-09";"33644/15";"6551/15";"2015-12-11";2015;10;"2015-10-01";46;17,0296537;51,0596898
"2494";3466;"";"";"Iracka  14 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego";"nowe";"2015-09-18";"30954/15";"6560/15";"2015-12-11";2015;9;"2015-09-01";61;17,0829266;51,0540844
"2495";3483;"";"";"Ró¿y Wiatrów  ";"bud.o trzech i wiêcej mieszkaniach";"budowa zespo³u budynków mieszkalnych wielorodzinnych r1,r2,r3,r4,r5 z gara¿ami podziemnymi";"nowe";"2015-09-25";"32004/15";"6582/15";"2015-12-14";2015;9;"2015-09-01";57;16,992051;51,0728131
"2496";3488;"";"";"Franciszkañski Plac  ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego z lokalem us³ugowym";"nowe";"2015-08-07";"26230/15";"6606/15";"2015-12-15";2015;8;"2015-08-01";93;17,0299127;51,1068489
"2497";3500;"";"";"Centralna  36 ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego czterolokalowego z lokalem us³ugowym";"nowe";"2015-07-29";"25024/15";"6634/15";"2015-12-16";2015;7;"2015-07-01";101;17,0731;51,063608
"2498";3522;"";"";"Grota-Roweckiego Stefana Gen.  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego z uslugami";"nowe";"2015-09-28";"32114/15";"6668/15";"2015-12-17";2015;9;"2015-09-01";59;17,0325316;51,056754
"2499";3527;"";"";"Buforowa  ";"bud.o dwóch mieszkaniach";"budowa osmiu budynków mieszkalnych jednorodzinnych";"nowe";"2015-10-16";"34491/15";"6680/15";"2015-12-18";2015;10;"2015-10-01";46;17,0570783;51,0574178
"2500";3531;"";"";"  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-09-23";"31620/15";"6687/15";"2015-12-18";2015;9;"2015-09-01";63;17,0385376;51,1078852
