"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"18201";1477;"";"";"Strzegomska 42K ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2014-06-27";"20592/14";"3031/14";"2014-07-07";2014;6;"2014-06-01";7;16,996162;51,113055
"18202";1478;"";"";"K³okoczycka  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2013-06-10";"17910/13";"3034/14";"2014-07-07";2013;6;"2013-06-01";281;17,0974348;51,156714
"18203";1479;"";"";"Redycka 36A ";"bud.o dwóch mieszkaniach";"wykonanie robót wykoñczeniowych wraz z przebudow¹ obiektu w stanie surowym na jednorodzinny budynek mieszkalny";"nowe";"2014-03-28";"10042/14";"3035/14";"2014-07-07";2014;3;"2014-03-01";72;17,068779;51,1524359
"18204";1480;"";"";"Babiego Lata  ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku wielorodzinnego";"nowe";"2014-06-05";"18035/14";"3038/14";"2014-07-08";2014;6;"2014-06-01";24;16,9961807;51,070075
"18205";1481;"";"";"Curie-Sk³odowskiej Marii  ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej";"nowe";"2014-05-06";"14371/14";"3039/14";"2014-07-08";2014;5;"2014-05-01";46;17,0629107;51,1104474
"18206";1482;"";"";"Œwie¿a  54 ";"bud.mieszkalne jednorodzinne";"odmowa";"rozbudowa";"2014-05-19";"15823/14";"3041/14";"2014-07-08";2014;5;"2014-05-01";37;16,907667;51,1555229
"18207";1483;"";"";"Popielskiego Leona 19D ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2014-05-09";"14810/14";"3043/14";"2014-07-08";2014;5;"2014-05-01";43;17,0873559;51,0717369
"18208";1484;"";"";"Kowalska  56 ";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2014-05-06";"14366/14";"3047/14";"2014-07-08";2014;5;"2014-05-01";46;17,0980039;51,1362485
"18209";1485;"";"";"Roosevelta Franklina 6  ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2014-05-09";"14934/14";"3048/14";"2014-07-08";2014;5;"2014-05-01";43;17,0424348;51,1219347
"18210";1486;"";"";"Osiniecka  ";"bud.kultury fizycznej";"ustawienie trybuny";"nowe";"2014-06-30";"20760/14";"3049/14";"2014-07-08";2014;6;"2014-06-01";7;16,8973346;51,1212832
"18211";1487;"";"";"D³ugosza Jana  ";"linie elektroener.i telekom.rozdzielcz.";"budowa stacji transformatorowej";"nowe";"2013-07-26";"23764/13";"3050/14";"2014-07-08";2013;7;"2013-07-01";248;17,0644781;51,1345534
"18212";1488;"";"";"Pszczelarska 11A ";"bud.mieszkalne jednorodzinne";"przebudowa przy³¹cza gazowego do budynku mieszkalnego";"przebudowa";"2014-05-15";"15548/14";"3051/14";"2014-07-08";2014;5;"2014-05-01";39;17,02215;51,058077
"18213";1489;"";"";"Gazowa 26A ";"zbiorniki,silosy i bud.magazynowe";"budowa hali magazynowej z niezbêdnymi elementami infrastruktury technicznej";"nowe";"2013-09-24";"30405/13";"3054/14";"2014-07-08";2013;9;"2013-09-01";206;17,0671382;51,0785035
"18214";1490;"";"";"Parafialna  14  ";"bud.mieszkalne jednorodzinne";"umorzenie";"przebudowa";"2014-05-26";"16686/14";"3056/14";"2014-07-08";2014;5;"2014-05-01";32;17,0342509;51,062889
"18215";1491;"";"";"KuŸnicza  30 ";"bud.handlowo-uslugowe";"przebudowa lokalu us³ugowego";"przebudowa";"2014-05-22";"16457/14";"3058/14";"2014-07-08";2014;5;"2014-05-01";34;17,0348278;51,1131996
"18216";1492;"";"";"Komuny Paryskiej  62/64  ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2014-06-20";"19793/14";"3059/14";"2014-07-08";2014;6;"2014-06-01";13;17,048104;51,1013789
