"";"Numer.......................................wpisu";"ImiÍ.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesiπc.wniosku";"data";"Czas.rozpatrzenia";"data_miesiac";"pora_roku";"lon";"lat"
"20660";650;"";"";"Mongolski Plac8 ";"bud.o trzech i wiÍcej mieszkaniach";"montaz wewnÍtrznej instalacji gazu i c.o.w lokalu mieszkalnym";"inst.wewnÍtrzna";"2015-02-06";"3550/15";"1284/15";"2015-03-19";2015;2;"2015-02-01";30;"2015_02";"Zima";17,081324;51,060244
"20661";651;"";"";"Krucza  64-66 ";"bud.o trzech i wiÍcej mieszkaniach";"odmowa";"przebudowa";"2014-12-11";"39913/14";"1285/15";"2015-03-19";2014;12;"2014-12-01";71;"2014_12";"Zima";17,0095281;51,0933192
"20662";652;"";"";"Traugutta Romualda Gen. 124 ";"bud.o trzech i wiÍcej mieszkaniach";"wykonanie wewnÍtrznej instalacji gazowej,c.o. i w.u. w budynku mieszkalnym wielorodzinnym";"inst.wewnÍtrzna";"2015-03-10";"7563/15";"1286/15";"2015-03-19";2015;3;"2015-03-01";8;"2015_03";"Wiosna";17,0561482;51,0982397
"20663";653;"";"";"Øeromskiego Stefana  37";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazowej w lokalu mieszkalnym";"inst.wewnÍtrzna";"2015-02-19";"5146/15";"1290/15";"2015-03-19";2015;2;"2015-02-01";21;"2015_02";"Zima";17,0484424;51,1227852
"20664";654;"";"";"Sikorskiego W≥adys≥awa Gen.11 ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu i c.o.w loklu mieszkalnym";"inst.wewnÍtrzna";"2015-01-07";"241/15";"1291/15";"2015-03-19";2015;1;"2015-01-01";52;"2015_01";"Zima";17,0204484;51,1141581
"20665";655;"";"";"£ukowska  53 ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-01-27";"2319/15";"1294/15";"2015-03-19";2015;1;"2015-01-01";38;"2015_01";"Zima";16,9227404;51,1659595
"20666";656;"";"";"Henryka Probusa 9 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa mieszkania wraz z wewnÍtrznπ instalacjπ gazowπ w budynku mieszkalnym wielorodzinnym";"przebudowa";"2015-01-30";"2795/15";"1295/15";"2015-03-19";2015;1;"2015-01-01";35;"2015_01";"Zima";17,0370477;51,1191456
"20667";657;"";"";"Traugutta Romualda Gen. 127 ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu w lokalu mieszkalnym";"inst.wewnÍtrzna";"2015-01-22";"1926/15";"1296/15";"2015-03-19";2015;1;"2015-01-01";41;"2015_01";"Zima";17,0547974;51,0989802
"20668";658;"";"";"Hallera JÛzefa Gen. Aleja  40 ";"bud.o trzech i wiÍcej mieszkaniach";"wykonanie balkonÛw dla mieszkaÒ w budynku mieszkalnym wielorodzinnym";"przebudowa";"2015-01-12";"531/15";"1297/15";"2015-03-19";2015;1;"2015-01-01";49;"2015_01";"Zima";17,0027172;51,0886696
"20669";659;"";"";"Psie Budy  10";"bud.o trzech i wiÍcej mieszkaniach";"remont elewacji i dachu budynku mieszkalnego";"remont";"2015-01-23";"2081/15";"1298/15";"2015-03-19";2015;1;"2015-01-01";40;"2015_01";"Zima";17,0273313;51,1096644
"20670";660;"";"";"Po≥aniecka  16 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa poddasza nieuøytkowego na lokal mieszkalny w budynku wielorodzinnym";"przebudowa";"2015-01-19";"1482/15";"1299/15";"2015-03-19";2015;1;"2015-01-01";44;"2015_01";"Zima";16,998603;51,0916719
"20671";661;"";"";"Walecznych  14";"bud.o trzech i wiÍcej mieszkaniach";"wewnÍtrzna instalacja gazu";"inst.wewnÍtrzna";"2015-01-28";"2531/15";"1300/15";"2015-03-19";2015;1;"2015-01-01";37;"2015_01";"Zima";17,059577;51,119727
"20672";662;"";"";"Hallera JÛzefa Gen. Aleja 108";"bud.o trzech i wiÍcej mieszkaniach";"wewnÍtrzna instalacja gazu w lokalu uøytkowym";"inst.wewnÍtrzna";"2014-12-18";"40747/14";"1301/15";"2015-03-19";2014;12;"2014-12-01";66;"2014_12";"Zima";16,992336;51,0901339
"20673";663;"";"";"Dπbrowskiego Jana Henryka Gen.  26 ";"bud.o trzech i wiÍcej mieszkaniach";"docieplenie elewacji budynku wielorodzinnego";"remont";"2015-01-20";"1613/15";"1302/15";"2015-03-19";2015;1;"2015-01-01";43;"2015_01";"Zima";17,0420301;51,1013449
"20674";664;"";"";"RÛø Aleja  27 ";"bud.o dwÛch mieszkaniach";"wewnÍtrzna instalacja gazu";"inst.wewnÍtrzna";"2015-03-06";"7136/15";"1303/15";"2015-03-19";2015;3;"2015-03-01";10;"2015_03";"Wiosna";17,087279;51,054336
"20675";665;"";"";"RostafiÒskiego JÛzefa 8 ";"bud.o trzech i wiÍcej mieszkaniach";"wewnetrzna instalacja wodociπgowa i kanalizacji";"inst.wewnÍtrzna";"2015-01-26";"2213/15";"1304/15";"2015-03-19";2015;1;"2015-01-01";39;"2015_01";"Zima";17,0339926;51,1195288
"20676";666;"";"";"Borowska  99 ";"bud.kultury fizycznej";"budowa sauny";"urzπdzenie";"2015-03-03";"6703/15";"1305/15";"2015-03-19";2015;3;"2015-03-01";13;"2015_03";"Wiosna";17,032314;51,0909434
"20677";667;"";"";"Sudecka 119 ";"bud.o trzech i wiÍcej mieszkaniach";"remont balkonÛw budynku mieszkalnego wielorodzinnego";"remont";"2015-02-10";"3969/15";"1306/15";"2015-03-19";2015;2;"2015-02-01";28;"2015_02";"Zima";17,017067;51,0861809
"20678";668;"";"";"Babiego Lata  ";"bud.szkÛ≥ i instytucji badawczych";"umorzenie";"nowe";"2015-01-14";"1003/15";"1312/15";"2015-03-20";2015;1;"2015-01-01";48;"2015_01";"Zima";16,9961807;51,070075
"20679";669;"";"";"£owiecka  11";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu w lokalu mieszkalnym";"inst.wewnÍtrzna";"2015-03-06";"7078/15";"1314/15";"2015-03-20";2015;3;"2015-03-01";11;"2015_03";"Wiosna";17,0274162;51,1242482
"20680";670;"";"";"Polanowicka  ";"rurociπgi gazu sieci rozdzielczej";"budowa gazociπgu";"nowe";"2015-01-28";"2456/15";"1317/15";"2015-03-20";2015;1;"2015-01-01";38;"2015_01";"Zima";17,0362987;51,1653609
"20681";671;"";"";"Ruska 47";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa mieszkania";"przebudowa";"2015-02-06";"3553/15";"1318/15";"2015-03-20";2015;2;"2015-02-01";31;"2015_02";"Zima";17,024925;51,1106704
