"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"data_miesiac";"pora_roku";"lon";"lat"
"24001";368;"";"";"Mieroszowska  ";"bud.o dwóch mieszkaniach";"budowa czterech budynków dwulokalowych w zabudowie bliŸniaczej";"nowe";"2016-01-22";"1940/16";"705/16";"2016-02-15";2016;1;"2016-01-01";17;"2016_01";"Zima";16,895921;51,1405203
"24002";369;"";"";"Starzyñskiego Stefana 9 ";"bud.mieszkalne jednorodzinne";"umorzenie";"nowe";"2016-02-02";"3056/16";"706/16";"2016-02-15";2016;2;"2016-02-01";10;"2016_02";"Zima";17,0128451;51,0542884
"24003";370;"";"";"Strachocin, AM-8, dz. 85/2";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-13";"37577/15";"708/16";"2016-02-15";2015;11;"2015-11-01";67;"2015_11";"Jesieñ";17,0385376;51,1078852
"24004";371;"";"";"Boles³awa Chrobrego  18 ";"bud.o trzech i wiêcej mieszkaniach";"remont elewacji budynku mieszkalnego wielorodzinnego";"remont";"2016-01-20";"1740/16";"709/16";"2016-02-15";2016;1;"2016-01-01";19;"2016_01";"Zima";17,0346035;51,122026
"24005";372;"";"";"Nowowiejska  18 ";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2016-01-07";"329/16";"710/16";"2016-02-15";2016;1;"2016-01-01";28;"2016_01";"Zima";17,0473739;51,1243119
"24006";373;"";"";"Zak³adowa 11 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu uzytkowego";"przebudowa";"2015-12-08";"40293/15";"715/16";"2016-02-16";2015;12;"2015-12-01";51;"2015_12";"Zima";17,0409802;51,129809
"24007";374;"";"";"O³biñska  32 ";"bud.szpitali i zak³.opieki medycznej";"umorzenie postêpowania";"przebudowa";"2015-12-14";"40919/15";"717/16";"2016-02-16";2015;12;"2015-12-01";47;"2015_12";"Zima";17,0367044;51,1246875
"24008";375;"";"";"Daszyñskiego Ignacego  35 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2016-02-02";"3134/16";"718/16";"2016-02-16";2016;2;"2016-02-01";11;"2016_02";"Zima";17,0518045;51,1250021
"24009";376;"";"";"Boñczyka Norberta Ks. 1";"bud.mieszkalne jednorodzinne";"umorzenie";"remont";"2015-11-24";"38742/15";"719/16";"2016-02-16";2015;11;"2015-11-01";61;"2015_11";"Jesieñ";17,0394959;51,1349786
"24010";377;"";"";"Uniwersytecka  11 ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie postepowania";"przebudowa";"2015-11-09";"36911/15";"720/16";"2016-02-16";2015;11;"2015-11-01";72;"2015_11";"Jesieñ";17,0337575;51,1132317
"24011";378;"";"";"Gdañska  32 ";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2016-01-21";"1791/16";"721/16";"2016-02-16";2016;1;"2016-01-01";19;"2016_01";"Zima";17,063104;51,1179179
"24012";379;"";"";"Œwidnicka  40 ";"bud.handlowo-uslugowe";"przebudowa lokalu uzytkowego";"przebudowa";"2015-12-23";"42201/15";"722/16";"2016-02-16";2015;12;"2015-12-01";40;"2015_12";"Zima";17,0317784;51,1035822
"24013";380;"";"";"£ukowska  ";"ruroci¹gi gazu sieci rozdzielczej";"budowa sieci gazowej sredniego cisnienia";"nowe";"2016-01-04";"131/16";"723/16";"2016-02-16";2016;1;"2016-01-01";32;"2016_01";"Zima";16,922218;51,1658405
