;Numer.......................................wpisu;ImiÍ.i.nazwisko.lub.nazwa.inwestora;Data.wpisu;Adres;Rodzaj;opis;typ;Data.wniosku;Nr...............wniosku;Nr...............decyzji;Data.decyzji;Rok.wniosku;Miesiπc.wniosku;data;Czas.rozpatrzenia;lon;lat
4421;1273;;2010-05-31;Trzebnicka 90;bud.o trzech i wiÍcej mieszkaniach;przebudowa lokalu mieszkalnego w budynku wielorodz;przebudowa;2010-04-08;11585/10;1089/10;2010-05-31;2010;4;2010-04-01;38;17,036455;51,130272
4422;1274;;2010-05-31;Bystrzycka 89;bud.przemys≥owe;wyk. zadaszenia dobudowanego do hali obrÛbki mechanicznej  ;przebudowa;2010-04-13;12050/10;1090/10;2010-05-31;2010;4;2010-04-01;35;16,9683143;51,120304
4423;1275;;2010-05-31;Kraszewskiego JÛzefa Ignacego 6;bud.o trzech i wiÍcej mieszkaniach;montaø instalacji co;inst.wewnÍtrzna;2010-04-09;11728/10;1091/10;2010-05-31;2010;4;2010-04-01;37;17,0355012;51,1282307
4424;1276;;2010-05-31;LegionÛw Plac 4A;bud.o trzech i wiÍcej mieszkaniach;wew.instalacja gazu;inst.wewnÍtrzna;2010-05-12;15622/10;1092/10;2010-05-31;2010;5;2010-05-01;14;17,0228322;51,1043302
4425;1277;;2010-05-31;Grawerska 90A;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-03-29;10409/10;1093/10;2010-05-31;2010;3;2010-03-01;46;17,011371;51,171445
4426;1278;;2010-05-31;PowstaÒcÛw ålπskich;rurociπgi wodociπg.sieci ;sieÊ ciep≥ownicza;nowe;2010-04-14;12308/10;1094/10;2010-05-31;2010;4;2010-04-01;34;17,0159984;51,0893211
4427;1279;;2010-06-01;Jerzmanowska 107A;bud.mieszkalne jednorodzinne;umarzam jako bezprzedmiotowe;przebudowa;2010-04-30;14515/10;147/10;2010-06-01;2010;4;2010-04-01;23;16,8689669;51,121359
4428;1280;;2010-06-01;Lipska;linie elektroener.i telekom.rozdzielcz.;umarzam postÍpowanie;nowe;2010-05-13;15850/10;148/10;2010-06-01;2010;5;2010-05-01;14;16,9973973;51,1549233
4429;1281;;2010-06-01;Azaliowa 26;bud.mieszkalne jednorodzinne;budynek wolno stojπcy mieszkalny jednorodz;nowe;2010-03-29;10329/10;1095/10;2010-06-01;2010;3;2010-03-01;47;17,109873;51,1661439
4430;1282;;2010-06-01;Siedlecka 11;bud.mieszkalne jednorodzinne;domu mieszkalnego jednorodzinnego ;nowe;2010-03-25;paü-75;1096/10;2010-06-01;2010;3;2010-03-01;49;16,920597;51,166739
4431;1283;;2010-06-01;Starom≥yÒska;bud.o trzech i wiÍcej mieszkaniach;przy≥πczy-wody i kanalizacji ogÛlnosp≥awnej ;przy≥πcze;2010-03-30;10604/10;1097/10;2010-06-01;2010;3;2010-03-01;46;17,0404234;51,115305
4432;1284;;2010-06-01;Kozanowska 109;bud.o trzech i wiÍcej mieszkaniach;zak≥ad fryzj-kosmetyczny;przebudowa;2010-05-06;14928/10;1098/10;2010-06-01;2010;5;2010-05-01;19;16,9664035;51,1387252
4433;1285;;2010-06-01;StrachociÒska 209A;bud.mieszkalne jednorodzinne;rozbudowa domu jednorodzinnego;rozbudowa;2010-05-07;15137/10;1099/10;2010-06-01;2010;5;2010-05-01;18;17,159875;51,098813
4434;1286;;2010-06-01;Gorlicka 62;bud.handlowo-uslugowe;gabinet stomatologiczny;przebudowa;2010-03-15;paü-92;1100/10;2010-06-01;2010;3;2010-03-01;57;17,1230185;51,143851
4435;1287;;2010-06-01;Junacka 24;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodzin;nowe;2010-05-17;16182/10;1101/10;2010-06-01;2010;5;2010-05-01;12;16,86056;51,153881
