"";"Numer.......................................wpisu";"ImiÍ.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesiπc.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"11001";1060;"";"2012-05-07";"Solskiego Ludwika 55 ";"bud.biurowe";"przebudowa wraz ze zmianπ sposobu uøytkowania budynku us≥ugowo-handlowego";"przebudowa";"2012-02-24";"gru-52";"gru-67";"2012-05-07";2012;2;"2012-02-01";52;16,9702349;51,082728
"11002";1061;"";"2012-05-07";"Øernicka 296 ";"bud.przemys≥owe";"przebudowa czÍúci hali na stacjÍ kontroli pojazdÛw";"przebudowa";"2012-02-29";"gru-96";"gru-71";"2012-05-07";2012;2;"2012-02-01";49;16,9133235;51,1261942
"11003";1062;"";"2012-05-07";"Dolnobrzeska ";"ulice i drogi pozosta≥e";"budowa zjazdu z drogi publicznej powiatowej wraz z budowπ przepustu drogowego";"przebudowa";"2012-03-21";"gru-63";"gru-74";"2012-05-07";2012;3;"2012-03-01";34;16,8563942;51,1565238
"11004";1063;"";"2012-05-07";"Przestrzenna 14-20 ";"bud.o trzech i wiÍcej mieszkaniach";"wykonanie docieplenia budynku mieszkalnego";"przebudowa";"2012-04-17";"12914/12";"gru-75";"2012-05-07";2012;4;"2012-04-01";15;17,03615;51,0899299
"11005";1064;"";"2012-05-07";"Krzycka ";"rurociπgi kanalizac.sieci ";"budowa sieci i przy≥πcza wody ,kanalizacji sanitarnej i deszczowej ,wewnetrznych linii elektroenergetycznych i oswietlenia terenu";"nowe";"2012-04-04";"11653/12";"gru-76";"2012-05-07";2012;4;"2012-04-01";24;16,9980133;51,0700742
"11006";1065;"";"2012-05-07";"Sokola 49 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa pomieszczeÒ strychu na lokal mieszkalny w budynku wielorodzinnym";"przebudowa";"2012-03-29";"10714/12";"gru-77";"2012-05-07";2012;3;"2012-03-01";28;17,007381;51,082363
"11007";1066;"";"2012-05-07";"Fabryczna 10A ";"bud.przemys≥owe";"przebudowa elewacji pÛ≥nocnej,wschodniej i zachodniej oraz docieplenie dachu nawy 1 hali c1";"przebudowa";"2012-02-27";"gru-26";"gru-78";"2012-05-07";2012;2;"2012-02-01";51;16,9913515;51,1118866
"11008";1067;"";"2012-05-07";"KrotoszyÒska 18 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2012-03-09";"gru-16";"gru-79";"2012-05-07";2012;3;"2012-03-01";42;16,995378;51,1412039
"11009";1068;"";"2012-05-07";"Wschodnia 68 ";"linie elektroener.i telekom.rozdzielcz.";"budowa stacji tansformatorowej";"nowe";"2012-03-02";"gru-60";"gru-80";"2012-05-07";2012;3;"2012-03-01";47;17,145746;51,113465
"11010";1069;"";"2012-05-07";"Koúciuszki Tadeusza 13  ";"bud.o trzech i wiÍcej mieszkaniach";"umorzenie";"inst.wewnÍtrzna";"2012-03-22";"gru-72";"gru-81";"2012-05-07";2012;3;"2012-03-01";33;17,0281164;51,1030881
"11011";1070;"";"2012-05-08";"Graniczna 8E ";"zbiorniki,silosy i bud.magazynowe";"przebudowa hali na magazyn";"przebudowa";"2012-04-27";"14598/12";"gru-84";"2012-05-08";2012;4;"2012-04-01";8;16,9291914;51,1085473
"11012";1071;"";"2012-05-08";"Torfowa ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2012-04-06";"11866/12";"gru-85";"2012-05-08";2012;4;"2012-04-01";23;17,072676;51,1539214
"11013";1072;"";"2012-05-08";"Darwina Karola 12 ";"bud.mieszkalne jednorodzinne";"rozbudowa budynku jednorodzinnego o czÍúÊ mieszkalnπ oraz budowa tarasu w przyziemiu";"rozbudowa";"2012-03-01";"gru-00";"gru-88";"2012-05-08";2012;3;"2012-03-01";49;16,9652838;51,0824369
"11014";1073;"";"2012-05-08";"Zag≥oby Onufrego 44A ";"bud.mieszkalne jednorodzinne";"umarzam jako bezprzedmiotowe";"nowe";"2011-11-22";"40042/11";"gru-91";"2012-05-08";2011;11;"2011-11-01";121;16,9280857;51,1173187
"11015";1074;"";"2012-05-08";"DüwirzyÒska 14-18 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa úcian zewnÍtrznych klatek schodowych oraz docieplenie úcian";"przebudowa";"2012-03-30";"10852/12";"gru-95";"2012-05-08";2012;3;"2012-03-01";28;16,9474379;51,1271799
"11016";1075;"";"2012-05-08";"M≥odnickiego Artura 48  ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego nr 12 z w≥πczeniem czÍúci poddasza w budynku wielorodzinnym";"przebudowa";"2012-03-07";"gru-79";"gru-96";"2012-05-08";2012;3;"2012-03-01";45;17,0619661;51,1250492
"11017";1076;"";"2012-05-08";"PauliÒska 18  ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2012-04-10";"12028/12";"gru-98";"2012-05-08";2012;4;"2012-04-01";21;17,0344051;51,120497
"11018";1077;"";"2012-05-08";"Gorlicka ";"bud.o trzech i wiÍcej mieszkaniach";"budowa zespo≥u budynkÛw wielorodzinnych wraz z zagospodarowaniem terenu";"nowe";"2012-02-14";"gru-63";"gru-00";"2012-05-08";2012;2;"2012-02-01";61;17,1183903;51,1441781
"11019";1078;"";"2012-05-08";"Stanis≥awskiego Jana 1  ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu";"inst.wewnÍtrzna";"2012-04-02";"11070/12";"gru-01";"2012-05-08";2012;4;"2012-04-01";27;17,1065419;51,100793
"11020";1079;"";"2012-05-08";"Kowalska 143 ";"bud.przemys≥owe";"przebudowa pomieszczeÒ sanitarnych w budynku produkcyjnym";"przebudowa";"2012-03-16";"gru-11";"gru-02";"2012-05-08";2012;3;"2012-03-01";38;17,1146147;51,1268343
"11021";1080;"";"2012-05-08";"Sokola 51 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa pomieszczeÒ strychu na lokal mieszkalny w budynku wielorodzinnym";"przebudowa";"2012-03-29";"10717/12";"gru-03";"2012-05-08";2012;3;"2012-03-01";29;17,007058;51,0817709
"11022";1081;"";"2012-05-09";"SkarøyÒskiego Stanis≥awa Pp≥k 6 ";"bud.mieszkalne jednorodzinne";"budowa dwÛch budynkÛw mieszkalnych";"nowe";"2012-04-05";"11677/12";"gru-07";"2012-05-09";2012;4;"2012-04-01";25;16,9004363;51,1081211
"11023";1082;"";"2012-05-09";"Meissnera Janusza 2 ";"bud.mieszkalne jednorodzinne";"odmowa";"rozbudowa";"2012-04-10";"12151/12";"gru-08";"2012-05-09";2012;4;"2012-04-01";22;16,9492212;51,102913
"11024";1083;"";"2012-05-09";"Belgijska 16 ";"bud.mieszkalne jednorodzinne";"rozbudowa budynku mieszkalnego jednorodzinnego";"rozbudowa";"2012-04-05";"11659/12";"gru-09";"2012-05-09";2012;4;"2012-04-01";25;16,96911;51,1060759
"11025";1084;"";"2012-05-09";"Gliniana 31 ";"bud.o trzech i wiÍcej mieszkaniach";"remont elewacji budynku";"przebudowa";"2012-04-23";"13713/12";"gru-11";"2012-05-09";2012;4;"2012-04-01";13;17,0349699;51,093525
"11026";1085;"";"2012-05-09";"Redycka 4  ";"bud.o trzech i wiÍcej mieszkaniach";"rozbudowa wewnÍtrznej instalacji gazu";"inst.wewnÍtrzna";"2012-03-02";"gru-07";"gru-12";"2012-05-09";2012;3;"2012-03-01";49;17,0750113;51,1490456
"11027";1086;"";"2012-05-09";"Boiskowa ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2012-03-29";"10760/12";"gru-13";"2012-05-09";2012;3;"2012-03-01";30;17,0877407;51,0479879
"11028";1087;"";"2012-05-09";"Sarbinowska 9 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa úcian zewnÍtrznych klatek schodowych i docieplenie budynku wielorodzinnego";"przebudowa";"2012-03-30";"10853/12";"gru-14";"2012-05-09";2012;3;"2012-03-01";29;16,945228;51,126591
"11029";1088;"";"2012-05-09";"Pieszycka 23 ";"bud.mieszkalne jednorodzinne";"przebudowa poddasza nieuøytkowego w domu jednorodzinnym na funkcjÍ mieszkalnπ";"przebudowa";"2012-03-14";"gru-64";"gru-17";"2012-05-09";2012;3;"2012-03-01";41;17,04673;51,0742659
"11030";1089;"";"2012-05-09";"Hermanowska 85-87 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa úcian zewnÍtrznych klatek schodowych oraz docieplenie úcian zewnÍtrznych wraz z kolorystykπ budynku mieszkalnego";"przebudowa";"2012-03-30";"10851/12";"gru-18";"2012-05-09";2012;3;"2012-03-01";29;16,948055;51,125133
"11031";1090;"";"2012-05-09";"Balzaka Honoriusza 34 1A";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku wielorodzinnym";"przebudowa";"2012-04-05";"11805/12";"gru-19";"2012-05-09";2012;4;"2012-04-01";25;16,9581466;51,076791
"11032";1091;"";"2012-05-09";"Swojczycka ";"bud.o trzech i wiÍcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego z garaøem podziemnym";"nowe";"2012-04-16";"12871/12";"gru-20";"2012-05-09";2012;4;"2012-04-01";18;17,1224221;51,1135124
"11033";1092;"";"2012-05-09";"Czekoladowa 52 ";"bud.garaøy";"budowa budynku garaøowo-gospodarczego";"nowe";"2012-02-16";"gru-13";"gru-21";"2012-05-09";2012;2;"2012-02-01";60;16,97438;51,0600499
