;Numer.......................................wpisu;Imiê.i.nazwisko.lub.nazwa.inwestora;Data.wpisu;Adres;Rodzaj;opis;typ;Data.wniosku;Nr...............wniosku;Nr...............decyzji;Data.decyzji;Rok.wniosku;Miesi¹c.wniosku;data;Czas.rozpatrzenia;lon;lat
15801;2357;;;  ;bud.o trzech i wiêcej mieszkaniach;odmowa;nowe;2013-07-05;21201/13;4707/13;2013-09-25;2013;7;2013-07-01;59;17,0385376;51,1078852
15802;2358;;;  ;bud.o dwóch mieszkaniach;odmowa;nowe;2013-07-03;20892/13;4708/13;2013-09-25;2013;7;2013-07-01;61;17,0385376;51,1078852
15803;2359;;;Powstañców Œl¹skich  73-95 ;bud.o trzech i wiêcej mieszkaniach;przebudowa lokali;przebudowa;2013-08-14;26055/13;4709/13;2013-09-25;2013;8;2013-08-01;31;17,0195559;51,094887
15804;2360;;;  ;bud.o dwóch mieszkaniach;odmowa;nowe;2013-07-03;20893/13;4710/13;2013-09-25;2013;7;2013-07-01;61;17,0385376;51,1078852
15805;2361;;;  ;bud.o dwóch mieszkaniach;odmowa;nowe;2013-07-03;20888/13;4711/13;2013-09-25;2013;7;2013-07-01;61;17,0385376;51,1078852
15806;2362;;;  ;bud.o dwóch mieszkaniach;odmowa;nowe;2013-07-03;20890/13;4713/13;2013-09-25;2013;7;2013-07-01;61;17,0385376;51,1078852
15807;2363;;;Miernicza 25;bud.o trzech i wiêcej mieszkaniach;przebudowa wewnêtrznej instalacji gazowej w lokalu mieszkalnym;inst.wewnêtrzna;2013-08-28;27379/13;4714/13;2013-09-25;2013;8;2013-08-01;21;17,048371;51,1014849
15808;2364;;;Przedwioœnie  ;linie telekomunikacyjne dalek.zasiêgu;budowa stacji bazowej telefonii komorkowej;nowe;2012-12-19;43079/12;4717/13;2013-09-25;2012;12;2012-12-01;201;17,1097224;51,164505
15809;2365;;;Bezpieczna 4A ;bud.handlowo-uslugowe;umorzenie;rozbudowa;2013-07-22;23104/13;4718/13;2013-09-25;2013;7;2013-07-01;48;17,0257219;51,141197
15810;2366;;;Zwyciêska 14 ;bud.o trzech i wiêcej mieszkaniach;przebudowa lokalu uzytkowego ze zmiana sposobu uzytkowania;przebudowa;2013-08-23;26974/13;4721/13;2013-09-25;2013;8;2013-08-01;24;17,0103014;51,0581596
15811;2367;;;¯ernicka  242 ;bud.kultu religijnego i czynnoœci religijnych;remont wie¿y koœcio³a parafialnego wraz  z rekonstrukcj¹ sklepienia;remont;2013-09-20;30210/13;4722/13;2013-09-25;2013;9;2013-09-01;4;16,9212199;51,1231019
15812;2368;;;Haisiga Mariana  4 ;bud.o dwóch mieszkaniach;budowa budynku jednorodzinnego mieszkalnego;nowe;2013-09-05;28416/13;4724/13;2013-09-25;2013;9;2013-09-01;15;16,8765564;51,1638614
15813;2369;;;W³odkowica Paw³a 25 ;bud.o trzech i wiêcej mieszkaniach;przebudowa budynku mieszkalnego wielorodzinnego;przebudowa;2013-06-28;20194/13;4729/13;2013-09-25;2013;6;2013-06-01;64;17,0233164;51,1093173
15814;2370;;;Nepalska  5;bud.o dwóch mieszkaniach;montaz instalacji gazowej;inst.wewnêtrzna;2013-07-30;24115/13;4730/13;2013-09-25;2013;7;2013-07-01;42;17,084681;51,056272
15815;2371;;;Wroc³awczyka Micha³a 37;bud.o trzech i wiêcej mieszkaniach;wewnêtrzna instalacja gazu;inst.wewnêtrzna;2013-08-30;27596/13;4732/13;2013-09-25;2013;8;2013-08-01;19;17,0548417;51,1116624
15816;2372;;;Curie-Sk³odowskiej Marii 38;bud.o trzech i wiêcej mieszkaniach;wewnetrzna instalacja gazu;inst.wewnêtrzna;2013-08-12;25705/13;4733/13;2013-09-25;2013;8;2013-08-01;33;17,0626895;51,110716
15817;2373;;;Mielecka  1;bud.o trzech i wiêcej mieszkaniach;wewnetrzna instalacja gazu;inst.wewnêtrzna;2013-07-31;24261/13;4734/13;2013-09-25;2013;7;2013-07-01;41;17,0028909;51,0929519
15818;2374;;;Dembowskiego Edwarda  41A ;bud.o trzech i wiêcej mieszkaniach;umorzenie;nowe;2013-07-03;20896/13;4735/13;2013-09-26;2013;7;2013-07-01;62;17,0934797;51,1059867
15819;2375;;;Z³otej Lilii 12 ;bud.mieszkalne jednorodzinne;umorzenie;nowe;2013-07-23;23257/13;4739/13;2013-09-26;2013;7;2013-07-01;48;17,0940767;51,1583982
15820;2376;;;A³unowa 19 ;bud.mieszkalne jednorodzinne;budowa zewnêtrznych schodów w budynku mieszkalnym jednorodzinnym;przebudowa;2013-09-09;28622/13;4740/13;2013-09-26;2013;9;2013-09-01;14;17,0484;51,158929
15821;2377;;;S³owiañska  7 ;bud.o trzech i wiêcej mieszkaniach;remont elewacji budynku mieszkalnego wielorodzinnego;remont;2013-06-12;18175/13;4741/13;2013-09-26;2013;6;2013-06-01;77;17,0396091;51,1231808
15822;2378;;;Wolnoœci Plac  9 5;bud.o trzech i wiêcej mieszkaniach;rozbudowa wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym;inst.wewnêtrzna;2013-08-09;25507/13;4742/13;2013-09-26;2013;8;2013-08-01;35;17,0271019;51,1074179
15823;2379;;;El¿biety Œw.  1-2 ;bud.o trzech i wiêcej mieszkaniach;budowa przy³¹cza wodoci¹gowego do budynku mieszkalnego;przy³¹cze;2013-08-01;24461/13;4743/13;2013-09-26;2013;8;2013-08-01;41;17,0308346;51,1119071
15824;2380;;;Spó³dzielcza 40;bud.o trzech i wiêcej mieszkaniach;montaz wewnetrznej instalacji gazu w lokalu mieszkalnym;inst.wewnêtrzna;2013-08-20;26473/13;4744/13;2013-09-26;2013;8;2013-08-01;28;17,10311;51,103003
15825;2381;;;Mielecka  5;bud.o trzech i wiêcej mieszkaniach;montaz wewnetrznej instalacji gazowej i co w lokalu mieszkalnym;inst.wewnêtrzna;2013-07-31;24312/13;4746/13;2013-09-26;2013;7;2013-07-01;42;17,002795;51,092698
15826;2382;;;Haisiga Mariana  3 ;bud.o dwóch mieszkaniach;budowa budynku mieszkalnego jednorodzinnego;nowe;2013-09-03;28093/13;4747/13;2013-09-26;2013;9;2013-09-01;18;16,8765564;51,1638614
15827;2383;;;Wielkopolska  7 ;bud.kultu religijnego i czynnoœci religijnych;budowa budynku spotkañ;nowe;2013-09-16;29569/13;4749/13;2013-09-26;2013;9;2013-09-01;9;16,888012;51,1406266
15828;2384;;;Œwie¿a 66;bud.o trzech i wiêcej mieszkaniach;przebudowa lokalu mieszkalnego wraz ze zmian¹ sposobu u¿ytkowania czêœci strychu na pom.mieszkalne;zmiana spos.u¿ytk.;2013-07-12;22018/13;4752/13;2013-09-26;2013;7;2013-07-01;55;16,9099699;51,1548919
15829;2385;;;Czekoladowa  ;;odmowa;reklama;2012-06-20;21070/12;4753/13;2013-09-26;2012;6;2012-06-01;332;16,9702277;51,0559657
