"","V1","V2"
"1",51.0933919,17.0243809
"2",51.1108,17.023667
"3",51.145093,16.8503851
"4",51.1090449,17.034367
"5",51.112462,17.0303429
"6",51.12323,16.925939
"7",51.118556,16.955736
"8",51.108813,17.0344929
"9",51.1247702,17.0739568
"10",51.1632004,17.1020873
"11",51.1208722,17.0881103
"12",51.104017,16.9050009
"13",51.1202645,17.0345556
"14",51.108813,17.0344929
"15",51.1152231,17.056404
"16",51.1263085,17.0468187
"17",51.1066379,17.032874
"18",51.0555708,17.007989
"19",51.082876,16.9667221
"20",51.0576921,16.9875552
"21",51.081944,17.01858
"22",51.072727,17.0031119
"23",51.1226646,17.0387316
"24",51.0572144,17.0132478
"25",51.1179435,17.0906506
"26",51.1239511,17.0514267
"27",51.078941,17.047812
"28",51.1237605,17.0332236
"29",51.0723005,16.9772961
"30",51.091867,16.986489
"31",51.1467355,17.0216138
"32",51.1467355,17.0216138
"33",51.1507001,17.0293906
"34",51.1690535,17.0998527
"35",51.108813,17.0344929
"36",51.1078852,17.0385376
"37",51.1180478,17.0526592
"38",51.1208011,17.0348804
"39",51.1206109,17.047187
"40",51.0680385,17.0774971
"41",51.1188949,17.0358959
"42",51.0608637,16.9991097
"43",51.072772,17.0851389
"44",51.1413237,16.8529873
"45",51.1349343,17.0647894
"46",51.108238,17.035173
"47",51.0981759,17.018919
"48",51.108142,17.036203
"49",51.1187977,17.0130514
"50",51.1093278,17.0616756
"51",51.06125,17.0167319
"52",51.1186225,16.9983948
"53",51.1535735,17.1192806
"54",51.1078852,17.0385376
"55",51.1179026,17.0522132
"56",51.1055686,17.0231694
"57",51.0997151,17.0828718
"58",51.1211829,17.0338605
"59",51.0591232,17.0615234
"60",51.1111519,17.0213048
"61",51.06982,17.008271
"62",51.1111519,17.0213048
"63",51.1156079,17.060092
"64",51.1540364,17.1367024
"65",51.1104124,17.1070923
"66",51.1183296,17.0526207
"67",51.091344,17.0026249
"68",51.063536,16.98246
"69",51.1074933,17.0741029
"70",51.1171652,17.0530151
"71",51.127381,17.049058
"72",51.068314,17.097708
"73",51.113558,17.129185
"74",51.0926592,17.0046284
"75",51.159425,17.137542
"76",51.1221819,17.052846
"77",51.0926819,17.0058304
"78",51.0509619,17.0330948
"79",51.1749656,16.8830462
"80",51.0902806,17.042107
"81",51.1123709,17.039728
"82",51.131989,16.954935
"83",51.1356537,16.9589439
"84",51.13643,16.96902
"85",51.103928,17.0266617
"86",51.1111519,17.0213048
"87",51.1158391,17.0549714
"88",51.121605,17.0384116
"89",51.0926847,17.0052139
"90",51.1636189,17.1406031
"91",51.1339456,16.8951605
"92",51.0981665,17.0531048
"93",51.1365033,16.9386734
"94",51.146037,17.042278
"95",51.1368455,17.0415347
"96",51.135,17.0343331
"97",51.1528903,16.9474731
"98",51.0900535,17.0400944
"99",51.1044727,17.0227434
"100",51.0893147,17.038389
"101",51.0866607,17.0096609
"102",51.1237188,17.0718189
"103",51.1126145,16.9953581
"104",51.146037,17.042278
"105",51.0890379,17.0062399
"106",51.080739,17.0803258
"107",51.1121658,16.9807219
"108",51.1132552,17.0482379
"109",51.0490594,17.0278694
"110",51.1149263,16.9573574
"111",51.1166094,17.0285549
"112",51.0538899,17.0119529
"113",51.088015,17.008665
"114",51.1258775,17.0611007
"115",51.0658765,17.0804635
"116",51.0997567,17.1118002
"117",51.1122527,17.0039718
"118",51.1106626,17.0196698
"119",51.1088925,17.0194075
"120",51.1234656,17.041083
"121",51.1735289,16.904086
"122",51.1093787,16.961726
"123",51.083801,16.986967
"124",51.084351,17.04638
"125",51.0953007,16.9724497
"126",51.1185764,17.037709
"127",51.127631,17.050131
"128",51.077757,17.008152
"129",51.0740714,17.014113
"130",51.1394869,16.881224
"131",51.110611,17.0323046
"132",51.174614,16.907906
"133",51.1214886,16.8984301
"134",51.0643065,17.0170834
"135",51.0840509,17.0025449
"136",51.1090626,17.02318
"137",51.111007,17.0006579
"138",51.1129559,16.988523
"139",51.0840279,17.046363
"140",51.1690535,17.0998527
"141",51.1690535,17.0998527
"142",51.1107421,17.0625967
"143",51.1267319,17.0306329
"144",51.1540364,17.1367024
"145",51.1516656,16.8623364
"146",51.0574178,17.0570783
"147",51.1149569,17.061016
"148",51.1107699,17.0283299
"149",51.1425129,17.121527
"150",51.0975756,16.9483105
"151",51.1030934,17.0326779
"152",51.1056374,17.0762221
"153",51.152794,16.946117
"154",51.1991398,16.9730779
"155",51.1220318,17.0374363
"156",51.1214455,16.9129154
"157",51.15792,16.8740425
"158",51.0994,17.0525428
"159",51.0893056,16.9848918
"160",51.1411853,17.0599525
"161",51.1040273,17.0496395
"162",51.131678,16.955552
"163",51.0600087,16.9991755
"164",51.0600087,16.9991755
"165",51.074551,17.04496
"166",51.1453129,16.95437
"167",51.1067702,17.0392518
"168",51.1185746,17.0818461
"169",51.0516668,17.0576881
"170",51.1709358,16.8390771
"171",51.1179435,17.0906506
"172",51.0600087,16.9991755
"173",51.0978715,17.0505148
"174",51.0993832,17.0213322
"175",51.079875,17.076
"176",51.0815011,17.0815693
"177",51.1334449,16.889615
"178",51.0686955,17.0984685
"179",51.1111831,17.0349128
"180",51.160213,17.1347609
"181",51.084044,17.0037099
"182",51.175045,17.013865
"183",51.0516668,17.0576881
"184",51.162326,16.922233
"185",51.0997532,17.0468291
"186",51.0745779,17.084141
"187",51.147047,16.8881169
"188",51.1056374,17.0762221
"189",51.1116626,16.9597793
"190",51.1211,17.0361039
"191",51.088884,17.0347869
"192",51.1565238,16.8563942
"193",51.143882,16.8805309
"194",51.0973259,17.008937
"195",51.077442,17.008038
"196",51.1129903,17.0384385
"197",51.1308267,17.0940181
"198",51.079356,17.067905
"199",51.1109719,17.14606
"200",51.1083525,17.0244667
"201",51.1101785,17.0233053
"202",51.1459722,17.1499902
"203",51.112364,17.037156
"204",51.095149,17.0230289
"205",51.095149,17.0230289
"206",51.1451349,17.115014
"207",51.1226232,17.0340905
"208",51.117525,16.954158
"209",51.123549,16.9163478
"210",51.1482816,17.043789
"211",51.095769,17.16056
"212",51.1561255,17.0635641
"213",51.1026238,17.0411016
"214",51.1479329,17.0212529
"215",51.0680379,17.0342322
"216",51.135196,16.980669
"217",51.159242,16.9127799
"218",51.0782669,17.057626
"219",51.1219661,17.0843745
"220",51.120669,16.971348
"221",51.1131479,17.0177276
"222",51.1133633,17.0226626
"223",51.0645389,16.992691
"224",51.0979699,17.1546339
"225",51.1347249,16.89752
"226",51.1056374,17.0762221
"227",51.1104474,17.0629107
"228",51.1533845,16.8830707
"229",51.106266,16.969003
"230",51.1186018,17.0284503
"231",51.1010649,17.0407043
"232",51.1428194,16.9892272
"233",51.109764,17.0261779
"234",51.1234379,17.02923
"235",51.102018,17.009828
"236",51.1393788,16.8833613
"237",51.1452029,17.106889
"238",51.099535,17.0963039
"239",51.1068707,17.0337039
"240",51.1284102,17.0321712
"241",51.1235416,17.0566721
"242",51.1209455,17.0429686
"243",51.103475,17.0352619
"244",51.1113878,17.0582882
"245",51.0798947,17.0473655
"246",51.0951649,16.9504777
"247",51.0902806,17.042107
"248",51.0709665,17.0863177
"249",51.0680679,17.0958009
"250",51.1749656,16.8830462
"251",51.124201,17.033798
"252",51.1099677,17.1441428
"253",51.12083,17.03998
"254",51.0924886,17.1330255
"255",51.1177561,16.8471662
"256",51.1565836,16.859511
"257",51.1788873,16.9529242
"258",51.1205549,17.037204
"259",51.1427795,16.8711827
"260",51.1006338,17.0998089
"261",51.1469955,17.1181387
"262",51.1373324,16.9653423
"263",51.105861,17.0417308
"264",51.160089,16.89789
"265",51.1448027,16.8504813
"266",51.120829,17.039737
"267",51.082511,17.0522229
"268",51.0869049,17.0119869
"269",51.109116,16.959259
"270",51.122937,16.986233
"271",51.0865468,17.0467411
"272",51.1094049,17.0999653
"273",51.108813,17.0344929
"274",51.1039253,17.0974894
"275",51.1348363,17.0371401
"276",51.1190724,17.0364654
"277",51.127184,17.051188
"278",51.1222126,16.8729417
"279",51.1306979,16.952032
"280",51.0776384,16.966284
"281",51.1177289,17.1439835
"282",51.128564,16.953564
"283",51.1227246,17.0364669
"284",51.1479591,16.8623707
"285",51.1237877,17.0276566
"286",51.0773177,16.9633676
"287",51.091845,17.0350769
"288",51.1162528,17.0306173
"289",51.1024207,17.051071
"290",51.1232029,17.0423632
"291",51.1010259,17.099715
"292",51.1101927,17.0035188
"293",51.145093,16.8503851
"294",51.1046622,17.0211602
"295",51.1145582,17.0401718
"296",51.092213,16.988972
"297",51.0909434,17.032314
"298",51.0807625,17.0854151
"299",51.105688,17.147458
"300",51.0674779,16.999876
"301",51.154637,16.914613
"302",51.0996199,17.1013352
"303",51.1216694,17.0544166
"304",51.1218246,17.0584995
"305",51.1383719,16.894949
"306",51.057311,17.0089559
"307",51.0902449,16.9969417
"308",51.1093126,17.0288395
"309",51.1131249,17.033504
"310",51.09035,17.004309
"311",51.1056374,17.0762221
"312",51.1700027,16.8855391
"313",51.1474171,16.8989923
"314",51.0482219,17.0535038
"315",51.1222126,16.8729417
"316",51.0974689,17.011713
"317",51.060842,17.079697
"318",51.1117358,17.0004733
"319",51.1110883,17.0309741
"320",51.109764,17.0261779
"321",51.0745404,17.0363631
"322",51.1003353,16.999775
"323",51.0885318,17.0350838
"324",51.111433,16.9593989
"325",51.121926,17.031576
"326",51.0997151,17.0828718
"327",51.160753,17.030268
"328",51.0574178,17.0570783
"329",51.1737709,16.911849
"330",51.0626459,17.084095
"331",51.1277307,17.0521998
"332",51.124462,17.041214
"333",51.1102357,17.0293423
"334",51.1263269,16.905196
"335",51.1346599,16.8870122
"336",51.1031432,16.9512257
"337",51.092337,16.9741902
"338",51.1597292,17.0975999
"339",51.0610885,16.9934571
"340",51.072772,17.0851389
"341",51.1205749,17.0376349
"342",51.1074933,17.0741029
"343",51.168526,17.1024439
"344",51.1177255,16.9303657
"345",51.1210681,16.8693063
"346",51.0964515,17.0528071
"347",51.0953801,16.9347137
"348",51.0953801,16.9347137
"349",51.0718286,17.0358325
"350",51.109023,17.028963
"351",51.1632477,17.1240251
"352",51.1216363,17.0127629
"353",51.1210195,17.0470124
"354",51.0718286,17.0358325
"355",51.159244,16.929356
"356",51.1107452,17.0972145
"357",51.080669,17.0849449
"358",51.1179435,17.0906506
"359",51.1346599,16.8870122
"360",51.1203395,17.0334199
"361",51.077793,17.040377
"362",51.1023024,17.0925247
"363",51.1538449,16.906814
"364",51.1698498,16.8855026
"365",51.122552,17.0766889
"366",51.1097879,16.955222
"367",51.0628032,17.0086477
"368",51.0660139,17.0313968
"369",51.1508104,17.0677963
"370",51.129586,17.1044898
"371",51.1135899,17.0083409
"372",51.1215395,17.0377095
"373",51.125887,16.9119509
"374",51.127133,17.010257
"375",51.091845,17.0350769
"376",51.1655159,16.968529
"377",51.1016878,17.0466409
"378",51.134315,17.101755
"379",51.1123746,16.988753
"380",51.137063,17.1293568
"381",51.169906,17.000532
"382",51.109231,17.035999
"383",51.118469,17.016913
"384",51.108812,16.967178
"385",51.1432079,17.0735329
"386",51.145993,16.9019412
"387",51.1185764,17.037709
"388",51.0616011,16.9665535
"389",51.126822,17.02872
"390",51.090255,16.985805
"391",51.148474,17.0314169
"392",51.1215224,17.0161417
"393",51.1196304,17.011933
"394",51.1186225,16.9983948
"395",51.155849,16.9060439
"396",51.106738,17.0190029
"397",51.126061,17.047531
"398",51.1010761,17.0346433
"399",51.1303903,16.8542396
"400",51.1396024,17.0431705
"401",51.142038,17.0660831
"402",51.146949,17.1334099
"403",51.1690535,17.0998527
"404",51.1034659,17.0495979
"405",51.1298236,16.9345855
"406",51.17561,16.885483
"407",51.15083,17.038404
"408",51.0989253,16.9416981
"409",51.1727289,17.005294
"410",51.1546854,16.9133449
"411",51.1307202,17.1079759
"412",51.152574,17.0665749
"413",51.1553746,16.8893015
"414",51.089729,17.0039069
"415",51.0648122,16.9575652
"416",51.1112849,17.0308375
"417",51.108813,17.0344929
"418",51.1120014,16.9889779
"419",51.108813,17.0344929
"420",51.1207413,17.1142297
"421",51.1261147,17.0487426
"422",51.104207,17.113623
"423",51.1121967,17.0313108
"424",51.1086735,16.9142661
"425",51.1127299,17.1171694
"426",51.063086,16.9811729
"427",51.0882439,17.013599
"428",51.0969642,17.0539256
"429",51.158737,16.8742657
"430",51.113974,17.1257619
"431",51.1653609,17.0362987
"432",51.1459174,17.1330003
"433",51.1219623,17.0468648
"434",51.1102643,17.0247199
"435",51.126061,17.047531
"436",51.115826,17.0735656
"437",51.1598847,17.1314514
"438",51.14658,16.8883249
"439",51.085867,17.0196599
"440",51.079425,17.0597539
"441",51.1769467,17.0155816
"442",51.1080219,17.0246351
"443",51.1065501,17.0964266
"444",51.162144,17.047707
"445",51.152834,16.8588339
"446",51.1031081,16.9456402
"447",51.1736222,16.911249
"448",51.1064388,17.0336652
"449",51.1086735,16.9142661
"450",51.1682097,17.0107884
"451",51.058557,16.974124
"452",51.1636189,17.1406031
"453",51.143386,16.9000819
"454",51.118922,17.0384849
"455",51.156769,17.0338889
"456",51.1184036,17.0371959
"457",51.1065534,16.9285583
"458",51.1052549,17.048337
"459",51.1012141,17.1052427
"460",51.0627755,16.9987806
"461",51.1237417,16.9428267
"462",51.1222324,17.0326334
"463",51.1788873,16.9529242
"464",51.113558,17.129185
"465",51.1098592,17.0297889
"466",51.0734919,16.9940682
"467",51.1359657,17.0866955
"468",51.1058289,17.1610779
"469",51.1280044,17.0530567
"470",51.068061,17.003245
"471",51.109063,17.028689
"472",51.1247059,17.049684
"473",51.1157777,17.024188
"474",51.0925857,17.0812077
"475",51.1540364,17.1367024
"476",51.089859,17.0374859
"477",51.068008,16.993477
"478",51.110611,17.0323046
"479",51.083801,16.986967
"480",51.1058499,17.0819589
"481",51.0715886,17.0874685
"482",51.105689,16.9482739
"483",51.0840428,17.0383047
"484",51.1368417,17.0692681
"485",51.160213,17.1347609
"486",51.115663,16.949503
"487",51.1423333,17.1315699
"488",51.1348363,17.0371401
"489",51.0907588,16.9373492
"490",51.1153901,17.0562964
"491",51.0574979,17.0575279
"492",51.0678551,17.0914405
"493",51.1166094,17.0285549
"494",51.0842287,17.0462537
"495",51.091845,17.0350769
"496",51.1126764,17.0935741
"497",51.1045249,16.9652159
"498",51.0616011,16.9665535
"499",51.0785035,17.0671382
"500",51.1540364,17.1367024
"501",51.1438288,17.063381
"502",51.1078852,17.0385376
"503",51.1139893,17.0548763
"504",51.1528408,17.126856
"505",51.1205498,17.0551953
"506",51.0672069,16.995818
"507",51.108813,17.0344929
"508",51.1330068,17.0621923
"509",51.1030492,17.0501648
"510",51.0737157,17.0362173
"511",51.1110229,17.0347869
"512",51.132459,16.892362
"513",51.0953935,16.9739955
"514",51.1085473,16.9291914
"515",51.1540364,17.1367024
"516",51.0567947,17.0158638
"517",51.0500514,17.0916699
"518",51.1162061,17.0264821
"519",51.1115111,17.0321469
"520",51.0831548,17.064929
"521",51.114739,17.061431
"522",51.1587489,16.9099037
"523",51.1507001,17.0293906
"524",51.123858,17.0448522
"525",51.105398,17.042564
"526",51.080519,16.99392
"527",51.1376834,17.0736184
"528",51.1508968,17.0678576
"529",51.1214821,17.0339347
"530",51.1205831,17.0517033
"531",51.109086,16.9627987
"532",51.1375792,17.0531421
"533",51.1179435,17.0906506
"534",51.099855,17.073985
"535",51.0933093,17.0100001
"536",51.1186118,17.0525874
"537",51.1389665,17.0492602
"538",51.1106626,17.0196698
"539",51.0686865,17.0773619
"540",51.1507001,17.0293906
"541",51.1135412,17.0173378
"542",51.1026901,17.0279101
"543",51.0710148,16.9799311
"544",51.065694,16.9826279
"545",51.0999521,17.1067142
"546",51.0724889,16.9720848
"547",51.142257,17.0303979
"548",51.096753,16.956695
"549",51.090086,17.0391999
"550",51.1482816,17.043789
"551",51.1104474,17.0629107
"552",51.1033845,17.0461291
"553",51.1179246,17.0030105
"554",51.0909434,17.032314
"555",51.1096609,17.0599054
"556",51.1261889,16.947048
"557",51.1356551,17.0819211
"558",51.1500721,16.9328198
"559",51.1043949,17.1028087
"560",51.1152231,17.056404
"561",51.1015658,17.0007606
"562",51.1032147,17.0399253
"563",51.113264,17.055813
"564",51.1085171,17.0287554
"565",51.1661379,17.11046
"566",51.141811,16.9667121
"567",51.1111235,16.9707218
"568",51.1221189,17.0476954
"569",51.1226164,17.0507027
"570",51.1193162,17.0331254
"571",51.1075021,17.0393539
"572",51.1089623,17.0265329
"573",51.1057859,17.014717
"574",51.1356537,16.9589439
"575",51.0721429,17.008881
"576",51.1446087,16.8696667
"577",51.1317294,16.9555941
"578",51.1256665,17.0535157
"579",51.092687,16.9861739
"580",51.0527796,17.0111486
"581",51.1178748,17.0496982
"582",51.0600087,16.9991755
"583",51.0600087,16.9991755
"584",51.0976171,17.0054954
"585",51.0865129,17.000189
"586",51.1059082,17.0242329
"587",51.1149526,17.0100543
"588",51.0467202,17.029377
"589",51.1097765,17.0157679
"590",51.0969298,17.0092224
"591",51.1388553,16.9780266
"592",51.120355,16.9285705
"593",51.1087025,17.0266974
"594",51.0810072,17.0765478
"595",51.122552,17.0766889
"596",51.1069323,17.0416804
"597",51.1479594,16.8902329
"598",51.1670508,16.9213418
"599",51.1047895,16.8997577
"600",51.0596505,17.0056571
"601",51.1212472,17.0345077
"602",51.1596001,16.940672
"603",51.0495079,17.027444
"604",51.0901033,16.9761167
"605",51.1046622,17.0211602
"606",51.114804,17.0602549
"607",51.089594,17.0038239
"608",51.1395539,16.8373536
"609",51.0984269,16.930316
"610",51.092767,16.992416
"611",51.1193274,17.0514834
"612",51.124236,17.0545644
"613",51.164505,17.1097224
"614",51.1402383,16.9737222
"615",51.1153809,17.052382
"616",51.120355,16.9285705
"617",51.0540049,17.0818489
"618",51.1221189,17.0476954
"619",51.133254,17.033663
"620",51.2005742,16.9684715
"621",51.1380045,16.9713886
"622",51.1157479,17.005026
"623",51.1046601,17.0234349
"624",51.1536611,16.9447084
"625",51.0623972,17.0849702
"626",51.1457069,16.8757619
"627",51.1141757,16.9779648
"628",51.1223454,17.0473226
"629",51.165126,16.968304
"630",51.1178545,17.0343938
"631",51.1458492,17.1412791
"632",51.068995,17.016683
"633",51.116971,17.032149
"634",51.1127539,17.0346379
"635",51.11544,17.0239139
"636",51.1398515,17.0426584
"637",51.1250236,17.0771066
"638",51.1209629,17.036133
"639",51.123487,17.034204
"640",51.0815601,17.0002509
"641",51.1200214,17.050758
"642",51.1223222,17.0508107
"643",51.0979706,16.9939195
"644",51.0890379,17.0062399
"645",51.15069,16.8911102
"646",51.0610873,17.0796448
"647",51.0620906,17.0826792
"648",51.2005742,16.9684715
"649",51.0984803,17.0076295
"650",51.1502202,17.1214789
"651",51.1087647,17.0280815
"652",51.166611,17.1339871
"653",51.1698498,16.8855026
"654",51.1355042,17.0867133
"655",51.1239511,17.0514267
"656",51.1363999,17.026477
"657",51.0819055,17.0252079
"658",51.1520657,17.0435725
"659",51.0993832,17.0213322
"660",51.1517979,16.9989031
"661",51.102934,17.014924
"662",51.1732668,17.1166413
"663",51.1276268,16.9812796
"664",51.160213,17.1347609
"665",51.1750836,16.91325
"666",51.1240789,17.0349909
"667",51.1508104,17.0677963
"668",51.0896064,17.0733037
"669",51.1210128,17.0327688
"670",51.1520657,17.0435725
"671",51.1546685,17.0663891
"672",51.0520489,17.0831549
"673",51.109753,17.1041029
"674",51.1091909,17.028516
"675",51.1251068,16.9680251
"676",51.1254533,16.97147
